KLNCIT/ECE/161,Antennas & Wave Propagation,D.Mythily,Selva Publications
KLNCIT/ECE/162,VLSI circuit Design,Albert Raj; T.Latha,Anuradha
KLNCIT/ECE/163,Practical approach to Digital Signal Processing,K.Padmanaban; Anandhi,New age
KLNCIT/ECE/164,Mobile Com,V.Jeyasri Arokiasamy,Anuradha
KLNCIT/ECE/165,Telecommunication Switching Network,P.Gnanasivam,New Age
KLNCIT/ECE/166,~,~,~
KLNCIT/ECE/167,Electronic Circuits-II,U.A.Bakshi,Technical
KLNCIT/ECE/168,P & C ,A.P.Godse & D.A.Godse,Technical
KLNCIT/ECE/169,Signals and Systems,J.S.Chitode,Technical
KLNCIT/ECE/170,Electric Circuits Analysis,H.Chandra Gupta,S.Chand
KLNCIT/ECE/171,Principles of Communication Engineering,Singh,S.Chand
KLNCIT/ECE/172,Principles Electron Devices & Circuits,B.L.Theraja; R.S.Sedha,S.Chand
KLNCIT/ECE/173,Tele Communication Systems,V.Thiyagarajan,A.R.Publications
KLNCIT/ECE/174,Prof.Ethics,V.Jayakumar,Lakshmi
KLNCIT/ECE/175,Control System(IV year-U.Ramesh Kumar),M.Ezhilmaran,Lakshmi
KLNCIT/ECE/176,Prof.Ethics & Human Values,V.Jayakumar,Lakshmi
KLNCIT/ECE/177,Transmission lines & wave guides,U.A.Bakshi; A.V.Bakshi,Technical
KLNCIT/ECE/178,Digital Signal Processing,J.S.Chithode,Lakshmi
KLNCIT/ECE/179,Signal and Systems,D.Valli,Lakshmi
KLNCIT/ECE/180,Communication Theory,A.Jabeena & K.Murali Babu,A.R.S
KLNCIT/ECE/181,Principles of Digital & Analog Communication,Sakthivel Murugan,
KLNCIT/ECE/182,Micro Processor & Micro Controller,A.Nagoor Kani,RBA
KLNCIT/ECE/183,~,~,~
KLNCIT/ECE/184,~,~,~
KLNCIT/ECE/185,Antenna and propagation,A.Amsa Veni,Anuradha
KLNCIT/ECE/186,Microwave Engineering,Jayanthy & K.S.Balaji,Anuradha
KLNCIT/ECE/187,Electronic Circuits-I,U.A.Bakshi & A.P.Godse,Technical
KLNCIT/ECE/188,Transmission lines and waves guides,Dr.P.Dhananjeyan,Lakshmi
KLNCIT/ECE/189,Communication Theory,J.S.Chithode,Technical
KLNCIT/ECE/190,Communication Engineering,J.S.Chithode,Technical
KLNCIT/ECE/191,Principles of electromagnetic theory,A.Srinivasa Reddy,RBA
KLNCIT/ECE/192,Optical Communication ,Dr.M.Arumugam,Anuradha
KLNCIT/ECE/193,Electronic Devices,K.S.Srinivasan,Anuradha
KLNCIT/ECE/194,Electronic Devices,K.S.Srinivasan,Anuradha
KLNCIT/ECE/195,Prof.Ethics and Human Values,S.Baskar,Anuradha
KLNCIT/ECE/196,Electronic Circuits-I,K.S.Srinivasan,Anuradha
KLNCIT/ECE/197,Antennas and propagation,D.Valli,Anuradha
KLNCIT/ECE/198,Micro Processor and its applications,A.P.Godse & D.A.Godse,Anuradha
KLNCIT/ECE/199,8085; 8086 P & 8051C; hardware applications & interfaring,R.Latha; S.Sakthivel,Anuradha
KLNCIT/ECE/200,Electronic Circuits-II,K.S.Srinivasan,Anuradha
KLNCIT/ECE/201,Electron Devices and Circuits,U.A.Bakshi & A.P.Godse,Technical
KLNCIT/ECE/202,Electronic Devices and Circuits,G.K.Mithal,Khanna
KLNCIT/ECE/203,Circuit Analysis,J.Jebastine; J.Venugopalakrishnan,Srikrishna
KLNCIT/ECE/204,Electronic Devices and Circuits,K.S.Srinivasan,Anuradha
KLNCIT/ECE/205,Electron Devices,A.P.Godse; U.A.Bakshi; A.V.Bakshi,Techincal
KLNCIT/ECE/206,Circuit Analysis,U.A.Bakshi; A.V.Bakshi,Technical
KLNCIT/ECE/207,Electron Devices(Ex.Final Year K.Rajesh),P.Ramesh Babu; Ganesh Babu,Scitech
KLNCIT/ECE/208,Electronic Devices,K.S.Srinivasan,Anuradha
KLNCIT/ECE/209,Communication Engineering,S.Sakthivelmurugan,RBA
KLNCIT/ECE/210,Electric Circuit Analysis,A.Nagoorkani,RBA
KLNCIT/ECE/211,Integrated Circuits,K.R.Botkar,Khanna
KLNCIT/ECE/212,V-sem 2marks Question Bank,,Pratheeba
KLNCIT/ECE/213,Power Electronics,Dr.P.S.Bhimpra,Khanna
KLNCIT/ECE/214,Circuit Analysis,P.Ramesh Babu,Scitech
KLNCIT/ECE/215,Control Systems,R.A.Basapate; U.A.Bakshi,Tech-Max
KLNCIT/ECE/216,Electronic Circuits-II,K.S.Srinivasan,Anuradha
KLNCIT/ECE/217,Control Systems,U.A.Bakshi; V.U.Bakshi,Technical
KLNCIT/ECE/218,8085; 8086 P & 8051C; hardware applications & interfaring,R.Latha; S.Sakthivel,Anuradha
KLNCIT/ECE/219,A Practical approach to Digital Signal Processing,K.Padmanabhan; D.S.Ananthi,New Age
KLNCIT/ECE/220,Digital Signal Processing,C.Ramesh Babu Durai,Lakshmi
KLNCIT/ECE/221,Digital Communication,J.S.Chithode,Technical
KLNCIT/ECE/222,Communication Theory,J.S.Kaire,Tech-Max
KLNCIT/ECE/223,Antennas and wave propagation(M.R.Balaji),A.Amsa Veni,Anuradha
KLNCIT/ECE/224,A first course in electronics,Anwar.A.Khan; Khanchan.K.Dey,PH1
KLNCIT/ECE/225,Electronic Circuits II ,G.Pugahendiran,~
KLNCIT/ECE/226,Computer Networks,K.Murali Babu; L.Agilandeswari,A.R.S.
KLNCIT/ECE/227,Antennas and Propagation,D.Mythily,Selva
KLNCIT/ECE/228,Signals and Systems,D.Valli,Lakshmi
KLNCIT/ECE/229,Analog and Digital Communication,K.S.Srinivasan,Anuradha
KLNCIT/ECE/230,Computer Architecture,S.Neelavathipari; Edreena,Magnus
KLNCIT/ECE/231,~,~,~
KLNCIT/ECE/232,Computer Networks,D.Thenmozhi; V.Balsubramanian,Magnus
KLNCIT/ECE/233,P& C IV-IT & V-CSE,R.Kanthavel; R.Dhivya,Magnus
KLNCIT/ECE/234,Digital Signal Processing,K.S.Srinivasan,Anuradha
KLNCIT/ECE/235,Measurements and Instrumentation,M.Janaki Rani; G.Sathya Bhama,Anuradha
KLNCIT/ECE/236,Electronic Devices,K.S.Srinivasan,Anuradha
KLNCIT/ECE/237,Optical Communications,M.Arumugam,Anuradha
KLNCIT/ECE/238,Communications Theory,K.S.Srinivasan,Anuradha
KLNCIT/ECE/239,Television and Video Engineering,G.Nagarajan,A.R.S.
KLNCIT/ECE/240,Optical Communications,V.S.Bagad,Technical
KLNCIT/ECE/241,Electronics Laboratory Manual,S.Poorna Chandran; B.Sasikala,S.Chand
KLNCIT/ECE/242,Applied Electronics,R.S.Sedha,S.Chand
KLNCIT/ECE/243,Principles of communications Engineering,Anok Singh; A.K.Chabra,S.Chand
KLNCIT/ECE/244,Principles of Electronic Devices & Circuits,B.L.Theraja; R.S.Sedha,S.Chand
KLNCIT/ECE/245,Digital Electronics,P.Pugazhendran,S.Chand
KLNCIT/ECE/246,Electron Devices & Circuits,S.Balaji; G.Senthilkumar,VRb
KLNCIT/ECE/247,Electron Devices,T.Ravikumar; G.Senthilkumar,VRB
KLNCIT/ECE/248,Optical Communications,D.Mythily,Selva
KLNCIT/ECE/249,Microprocessor and its applications,P.S.Manoharan,Chanilatha
KLNCIT/ECE/250,Transmission lines and Waveguides,R.S.Saravana Kumar; ,Anuradha
KLNCIT/ECE/251,Communications Theory,R.Rani; R.G.susila; P.Sankar,Magnus
KLNCIT/ECE/252,Electron Devices and Circuits,K.Srinivasan; M.Palpandian,Magnus
KLNCIT/ECE/253,Electromagnetic field Theory,SBalasubramanian; S.Nagammai; S.Murugan,Annaivelu
KLNCIT/ECE/254,Digital Signal Processing,V.Krishnamoorthy; C.Ramesh Babu; Durai,Laxmi
KLNCIT/ECE/255,Optical Communications,Sathyamoorthy; Daniel; Jayanthi; NishaLaw,Sams
KLNCIT/ECE/256,P& C Hardware applience & Interfacing,R.Latha; S.Sakthivel,Anuradha
KLNCIT/ECE/257,Measurements and Instrumentation,M.Janaki Rani; G.Sathya Bhama,Anuradha
KLNCIT/ECE/258,Analog and Digital Communication,K.S.Srinivasan,Anuradha
KLNCIT/ECE/259,Digital Communication,K.S.Srinivasan,Anuradha
KLNCIT/ECE/260,Computer Networks,J.S.Katre,Tech-max
KLNCIT/ECE/261,Measurements and Instrumentation,Albert.D.Helfra,Tech.max
KLNCIT/ECE/262,Digital Signal Processing,J.S.Katre,Tech.Max
KLNCIT/ECE/263,P& C,U.S.Shah,Tech.Max
KLNCIT/ECE/264,Antennas and Wave Propagation,A.R.Harish; M.Sachidanandham,Oxford
KLNCIT/ECE/265,Digital Signal Processing,C.Ramesh Babu; Durai,Lakshmi
KLNCIT/ECE/266,Linear Systems and Signals,B.P.Lathi,Oxford
KLNCIT/ECE/267,Elements of Electro Magnetics,Mathew.N.O.Sadiku,Oxford
KLNCIT/ECE/268,Principles of Management,K.Anbuvelan,Laxmi
KLNCIT/ECE/269,Communication Systems,Anuradha,R.Kumar
KLNCIT/ECE/270,Principles of Communications,K.S.Srinivasan,Selva
KLNCIT/ECE/271,Linear Integrated Circuits (P.K.),Roy Choudry Jain,New Age
KLNCIT/ECE/272,Communication Switching Systems,J.Raja,Akshaya
KLNCIT/ECE/273,Introduction to Digital Signal Processing ,Johny.R.Johnsa,Prentice Hall
KLNCIT/ECE/274,Engineering Electromagnetics,William Hayt.J.R.,Tata Megraw Hill
KLNCIT/ECE/275,Modern Television Practice,R.R.Gulati,New Age
KLNCIT/ECE/276,Electronic Circuits-II (M.M),P.Pugazendiran,A.R
KLNCIT/ECE/277,~,~,~
KLNCIT/ECE/278,Control Systems,R.Sasikala; P.Jeyakumari,Anuradha
KLNCIT/ECE/279,Linear Integrated Circuits(P.K),Salivahanam,Tata Megraw Hill
KLNCIT/ECE/280,Measurement Systems,Ernest Dobelin;Dhanesh N.Manik,Tata Megraw Hill
KLNCIT/ECE/281,~,~,~
KLNCIT/ECE/282,Fundamentals of Signals and Systems,Michael; J.Robert,Tata Megraw Hill
KLNCIT/ECE/283,VLSI Technology,Sujatha Pandey; Manoj Pandey,Dhanpal Rai & Co
KLNCIT/ECE/284,Bio Medical Instrumentation and Medical Electronics,R.L.Rekha; C.Ravikumar,Lakshmi
KLNCIT/ECE/285,Microwave Engineering,V.S.Bagad,Technical
KLNCIT/ECE/286,~,,
KLNCIT/ECE/287,Digital Signal Processing,J.S.Chithode,Technical
KLNCIT/ECE/288,Communication Theory,J.S.Chithode,Technical
KLNCIT/ECE/289,~,,
KLNCIT/ECE/290,Micro Processor and its applications,Godse,Technical
KLNCIT/ECE/291,Digital Signal Processing (A.M),Chithode,Technical
KLNCIT/ECE/292,Tele Communications Systems,V.S.Bagad,Technical
KLNCIT/ECE/293,Optical Communication,V.S.Bagad,Technical
KLNCIT/ECE/294,Microwave Engineering,V.S.Bagad,Technical
KLNCIT/ECE/295,Textbook on Optical Fiber Communication and its applience,S.C.Gupta,Prentice Hall of India
KLNCIT/ECE/296,Transmission Liner & Waveguides,S.Suganthi; Elangovan.E,Magnus Publications
KLNCIT/ECE/297,Optical Communications,Dr.M.Arumugam,Anuradha
KLNCIT/ECE/298,Txn Lines & Waveguides,R.Saravanakumar; R.Rani,Anuradha
KLNCIT/ECE/299,Control Systems,R.Sasikala; P.Jeyakumari,Anuradha
KLNCIT/ECE/300,Electron Devics & Circuits,D.Chatto Padhyay; P.C.Rakshit,New age
KLNCIT/ECE/301,Micro Processor & Micro Controller,A.P.Godse& D.A.Godse,Technical
KLNCIT/ECE/302,Communication Theory,K.S.Srinivasan,Anuradha
KLNCIT/ECE/303,Electronic devices & Circuits,U.A.Bakshi & A.P.Godse,Technical
KLNCIT/ECE/304,Electronic Devices,K.S.Srinivasan,Anuradha
KLNCIT/ECE/305,Electronic Devices and Circuits,D.Chatto Padhyay,New age
KLNCIT/ECE/306,Signals and Systems,P.Ramesh Babu & P.Ananda Nataraj,SCI Tech
KLNCIT/ECE/307,Linear Integrated Circuits(P.K),T.R.Ganesh babu; B.Suseela,SCI Tech
KLNCIT/ECE/308,Electronic Circuits-II,B.Sasikala; S.Poornachandran,SCI Tech
KLNCIT/ECE/309,Signals and Systems(A.M),S.Padmavathy Girivasan,Anuradha
KLNCIT/ECE/310,Electric Circuits Theory & Analysis,M.K.Balachandran & L.Rajaji,V.R.B
KLNCIT/ECE/311,Bio Medical Instrumentation,Rajalakshmi,Sams
KLNCIT/ECE/312,Electric Circuits and Electron Devices,S.Kalpana Rajan& S.Achudhan,United Global Publishers
KLNCIT/ECE/313,Mobile Communications,R.Janaki,Anuradha
KLNCIT/ECE/314,Computer Network,Dr.N.Jayaprakash,Anuradha
KLNCIT/ECE/315,Antennas & Wave propagation(S.V),A.Amsaveni,Anuradha
KLNCIT/ECE/316,Micro Processor & Micro Controller,P.S.Mahendran,Charulatha
KLNCIT/ECE/317,VLSI Design,R.Uma,Sri Krishna
KLNCIT/ECE/318,Electric Circuits & Electron Devices,K.Bommana Raja & S.Sasikumar,Sri Krishna
KLNCIT/ECE/319,Principles of Communicatons,K.S.Srinivasan,Anuradha
KLNCIT/ECE/320,High-Speed Networks and Internets(S.M.Gopi-IV Year),William Stallings,Pearson Education
KLNCIT/ECE/321,CMOS VLSI Design (A circuits & systems perspective),NEIL.H.E.Weste; Davis Harris; AyanBanerjae(IIIrd Edition),Pearson Education
KLNCIT/ECE/322,Electronic Communications Systems Vth Edition,Wayme Tomasi,Pearson Education
KLNCIT/ECE/323,Digital Circuits & Design(B.J),S.Salvahanan,Vikas
KLNCIT/ECE/324,Signals and Systems,Dr.J.S.Chithode,Techincal
KLNCIT/ECE/325,Electronic Circuits I(P.K),A.P.Godse; U.A.Bakshi,Techincal
KLNCIT/ECE/326,Linear Integrated Circuits(P.K),D.Roy Choudhury; Shail B.Jain,New Age
KLNCIT/ECE/327,Modern Television Practice IIIrd Edition,R.R.Gulati,New Age
KLNCIT/ECE/328,Circuit Analysis,U.A.Bakshi & A.V.Bakshi,Technical
KLNCIT/ECE/329,VLSI Design,R.Sakthivel,S.Chand
KLNCIT/ECE/330,Microwave Engineering,T.Jayanthy; K.S.Shaji,Anuradha
KLNCIT/ECE/331,Optical Communication(Jeyanthan),Dr.M.Arumugam,Anuradha
KLNCIT/ECE/332,Digital Image Processing using Matlab,E.S.Gopi,SCI Tech
KLNCIT/ECE/333,Transmission Lines & Waveguides,S.Suganthi & E.Elangovan,Magnus
KLNCIT/ECE/334,Electrical Engineering,U.A.Bakshi; V.V.Bakshi,Technical
KLNCIT/ECE/335,Digital Electronics,P.S.Manoharan,Charulatha
KLNCIT/ECE/336,Micro Processor and its applications,P.S.Manoharan,Charulatha
KLNCIT/ECE/337,CMOS VLSI Design,NEIL.H.E.Weste (IIIrd)edition,Pearson Education
KLNCIT/ECE/338,~,,
KLNCIT/ECE/339,Microwave Engineering,T.Jayanthy; K.S.Shaji,Anuradha
KLNCIT/ECE/340,Microwave Devices & CKTS,Sanue.Y.Liao,EEE
KLNCIT/ECE/341,Digital Image Processing (IInd Edition),Rafel.C.Gonzalez & Richard E.Wood,Pearson Education
KLNCIT/ECE/342,High Speed Networks & Internets(IInd edition) ,William Stallings,Pearson Education
KLNCIT/ECE/343,Digital Image Processing(IIIrd edition),Rafel.C.Gonzalez,Pearson Education
KLNCIT/ECE/344,Microwave Engineering,T.Jayanthy K.S.Shaji,Anuradha
KLNCIT/ECE/345,Electronic Circuits,U.A.Bakshi; A.P.Godse,Technical
KLNCIT/ECE/346,Electronic Circuits,U.A.Bakshi; A.P.Godse,Technical
KLNCIT/ECE/347,Signals and Systems,P.Ramesh Babu; R.Ananda Natarajan,SCI Tech
KLNCIT/ECE/348,Digital Electronics,P.Raja,SCI Tech
KLNCIT/ECE/349,Digital Electronics,P.Raja,SCI Tech
